2026-09-15 20:29:26.768 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-09-15 20:29:26.769 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2026-09-15 20:29:26.968 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection org.postgresql.jdbc.PgConnection@673fdc28
2026-09-15 20:29:26.968 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2026-09-15 20:29:27.010 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-09-15 20:29:27.283 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-09-15 20:29:27.283 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'postgres'
2026-09-15 20:29:27.906 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-09-15 20:29:28.321 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2026-09-15 20:29:28.541 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-09-15 20:29:28.558 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2026-09-15 20:29:28.644 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: ru.itone.illya4gurenko.grpc.FileUploadService, bean: fileUploadGrpcService, class: ru.itone.illya4gurenko.publisher_change_food_card.controller.FileUploadGrpcService
